Texto,Fecha,sentimiento,etiqueta
"
CONFIGURACIÓN: La configuración fue bastante fácil en general. Al cargar la aplicación, vaya a: dispositivos - botón agregar - agregar dispositivo - eco - seleccione qué tipo de eco - elija generación - seleccione dispositivo - conéctese a wifi - conéctese al dispositivo bluetooth (opcional) - listo. Entonces, aunque parezca mucho, la aplicación lo guía en cada paso del camino y solo toma unos minutos. USANDO ALEXA: Nada importante en cuanto al software, ya que estos se envían a los dispositivos con regularidad. Lo único que noté fue el reconocimiento de voz. Era un poco mejor que mi echo dot de 2ª generación. Por lo general, si estaba en otra habitación con mi segunda generación, tenía que gritar. Con mi 3ª generación no tengo que hablar tan alto. CALIDAD DE AUDIO: La calidad de audio en el punto 3 fue mucho mejor que la del punto 2. Ahora todavía hay margen de mejora, pero mejoró. Incluso desde el principio en la configuración, me di cuenta de que la calidad era mejor. Suena más completo y mejor base. DISEÑO: Como puede ver en las imágenes, el punto 3 tiene un nuevo acabado. En lugar de plástico, el punto 3 tiene tela en varios colores. También hay más opciones de color que la 2ª generación. Creo que la nueva versión se integra mejor en la habitación. También se parece menos a un disco de hockey. Los botones en lugar de estar en el borde exterior ahora están más centrados hacia el centro. Los 4 micrófonos están justo detrás de los botones. ENCHUFE: El enchufe de la versión más nueva encaja mejor en la pared que la segunda versión. (Ver imagen) No me gustó esto cuando Amazon presentó la segunda versión, pero ya está aquí. PRECIO: El nuevo echo dot tiene el mismo precio inicial de $ 50. El echo dot 2 se ha descontado a $ 40 a partir del 18/11/18. Entonces, ahora la gran pregunta: ¿vale la pena el precio? ¿Debo actualizar? Bueno, en mi opinión, si tienes la segunda generación, no deberías actualizar y en su lugar invertir en un altavoz bluetooth. No hay mucha diferencia además del diseño y la calidad de audio entre el punto 2 y 3. El software es el mismo para ambos. Si realmente desea una mejor calidad de audio, debe comprar un altavoz bluetooth y conectarlo a su echo dot. Realmente no vale la pena los $ 50 solo por una mejor calidad de audio y una tela agradable. Sin embargo, si está buscando tener varios dispositivos Echo en su hogar, probablemente sea mejor que obtenga la versión más nueva. En general: Tanto el echo dot 2 como el 3 tienen sus altibajos. Realmente, si tienes otro punto de eco, no necesitas actualizar. Sin embargo, si este es su primer dispositivo Echo o desea varios dispositivos Echo en su hogar, considere la versión más reciente. ¡Bueno, espero que eso ayude!

",18-Nov-18,mixed,calidad_de_fabricacion
"
Este es un muy buen altavoz inteligente. ¡Tiene un sonido mucho mejor que la versión anterior!

",13-Dec-18,positive,audio_y_sonido
"
Alexa se ha convertido en una excelente herramienta para la administración de todos los dispositivos en casa, a pesar que aún no viene en español con mi nivel inglés y los comandos claros que vienen en las instrucciones he sacado gran provecho. El sonido para su tamaño es realmente bueno con relación a la segunda generación. Me encanta Alexa y todos sus dispositivos.

",9-Dec-18,positive,audio_y_sonido
"
¿Qué podría estar pensando Amazon al darle al nuevo Dot un enchufe adaptador de CA ENORME, patentado (adiós a sus complementos micro USB)? Esta cosa ocupa un enchufe de salida completo [adaptador de 15 W] y ni siquiera tiene puertos USB en el lateral para ser útil. Estoy seguro de que Amazon escuchó todo sobre los enchufes micro usb inferiores que se usan con Alexa, y por lo tanto fueron e hicieron algo universalmente inútil para ""solucionar"" el problema, en lugar de decirle a la gente que simplemente use el mejor equipo que YA POSEEN. Francamente, no me importa si el nuevo es ""nuevo y mejorado"" cuando se tomó un paso tan evidente con la unidad física real. Desprecio igualmente los enchufes de alimentación patentados de HP para impresoras y computadoras portátiles; ¡Qué estafa! Estoy seguro de que Amazon estará más que feliz de vender estos enchufes en masa cuando fallen y los Echo se conviertan en piezas de basura tecnológica que no funcionan hasta que compre un enchufe nuevo y costoso, en lugar de simplemente sacar otro Micro USB de su cajón. Al menos podrían haber optado por USB-C; caramba.  Voy a leer si Google fue igualmente estúpido con su Mini este año, y si no...

",25-Nov-18,mixed,bateria_y_energia
"
Llamé a Amazon antes de ordenar. No pude obtener una respuesta directa. Ahora está aquí y no puede llamar al 911. Eso es lo único que me importaba. Cualquier otra cosa que pueda hacer no tiene valor. Si no estoy lesionado, mi teléfono ya puede hacer todo lo que esto puede excepto la basura del hogar inteligente, y en serio, ¿la gente es demasiado perezosa para presionar un botón? Esta podría haber sido una tecnología que salva vidas y no lo es a menos que tenga un teléfono fijo o VOIP y otro dispositivo para conectarse. ¡Estoy tan disgustado con esta cosa! Estoy investigando el tema de VOIP y el dispositivo de conexión, pero el nivel de complicación, costo e inconveniencia hace que esto sea completamente inadecuado para muchas personas mayores y me deja preguntándome por qué esta tecnología lisiada es tan popular en primer lugar. Claramente destinado a personas a las que les encanta hablar en voz alta con cosas inanimadas y se divierten diciéndole a un robot que toque música ...

",29-Nov-18,mixed,rendimiento
"
El echo dot tiene una construcción y desempeño sobresalientes:  Pequeño, con buen sonido, el anillo de luz da retroalimentación útil y puede usarse un parlante alternativo por cable o bluetooth; el asistente (Alexa) en español es competente y no tan mecánico como el de GoogleHome. Si bien el uso en español es posible y útil, tiene limitaciones asociadas con restricciones asociadas a la tienda en que se compra (la de EEUU, México o España dan acceso a conjuntos diferentes de skills de Alexa; por ejemplo en la de EEUU no es posible habilitar algunos servicios de noticias que sí están disponibles en la de España) y a la pobre oferta de interfaces en español o para mercados fuera de EEUU  de algunas aplicaciones… limitando su valor (por ejemplo, no he podido hacer la integración con Harmony Hub, pues al usar el Echo dot fuera de EEUU no se habilita el uso del skill).

",10-Mar-19,mixed,precio_y_valor
"
Alexa es muy simpatica. Tengo dos hijos adolescentes (13 y 15 años) y se la han pasado dandole ordenes y haciendole preguntas desde que recibieron el Echo dot como regalo de Navidad.Realmente me ha asombrado la capacidad que tiene para interactuar con los diferentes miembros de la familia en diferentes idiomas: español e ingles. Tambien me me llamo la atencion como discrimina tu voz entre las demas en una conversacion. Es decir, a partir de que le has dicho ""Alexa"", solo se enfoca en lo que tu le estas solicitando, aunque haya otra conversacion de fondo en la misma habitacion, o ruido. Hemos descargado la app en el celular. Yo puedo estar fuera de casa y llamar al echo dot que esta en el playroom de mis hijos y ellos toman la llamada directamente alli. Nosotros vivimos en Paraguay, y le preguntas como esta el clima y te lo indica perfectamente. No he logrado aun conectar Imusic con Alexa, ya que me indica que esa funcion no esta disponible aun en mi pais. Asi que mis hijos estan evaluando cambiarse a Spotify. He comprado un smart doorbell compatible con Alexa, estará en camino. Cuando llegue pienso conectarlo para poder atender el timbre de la puerta del frente directamente desde Alexa.Tambien hemos comprado dos echo dot con reloj, pero esos recien salen a fin de enero (supongo que era un pre-sale). Estoy ansiosa de ver como funcionan esos dos como despertadores en el dormitorio, y entre los 3 como intercomunicadores. Ya he ordenado otro echo dot para regalarle a mi hermano para su cumpleaños. El tiempo de entrega es rapidisimo y llega muy bien empacado. Y hay que resaltar que el precio actual da para equiparse. Con referencia a la privacidad: este modelo tiene un botón para desactivar el micrófono en caso de que desees que no te escuchen... En fin, no lo se. Si voy a estar preocupada por ese tipo de espías, entonces tampoco debería de tener otro tipo de artefactos, comenzando por mi celular. Asi es que me lance a comprarlo sin pensar en ello. He decidido hacer esta reseña en español, porque no hay tantas en este idioma y creo que tambien es importante. Saludos y feliz inicio de 2020 a todos!!

",30-Dec-19,mixed,audio_y_sonido
"
Entonces, he tenido algunos puntos de eco.  1ª generación, pocas 3ª generación, nunca dejaron de funcionar.  Este último dejó de funcionar en un mes.  Y para reemplazarlo, quieren que lo envíes de vuelta para esperar a repararlo y solo si no pueden repararlo te enviarán uno nuevo.  No sé sobre todos los demás, pero no quiero un dispositivo ""reparado"" que funcionó por menos de un mes.  ¡Es tan tonto cómo reemplazarán cualquier otra cosa que no sea su propio producto!

",20-Jan-20,negative,otro
"
Actualización: también compré un Dot 3 con reloj. Es todo lo que es el Dot 3 normal, con un reloj digital. Esperaba que fuera bueno para un reloj de noche, pero no tanto. Tiene una función de atenuación automática muy sensible, eso es lo bueno. Pero el nivel al que se atenúa TODAVÍA es demasiado brillante para mi cama. No cambiaré los inicios de mi revisión original ya que Amazon piensa que este es el mismo producto. Pero diré que como reloj de cabecera, la pantalla solo obtiene 2 ESTRELLAS ⭐️ ⭐️.  Sin embargo, hay una oportunidad para la salvación. Este Dot tiene una respuesta táctil para descartar alarmas. Me gustaría poder apagar la pantalla en la aplicación y luego mostrar el reloj momentáneamente con un toque. Haz que eso suceda, Amazon, y estaremos bien.———————————————————————Revisión original: Dot 3 es una actualización notable de este dispositivo. No esperaba mucho, pero el sonido de esto es notablemente mejor que las encarnaciones anteriores. Dicho esto, modera tus expectativas. Este es un altavoz pequeño. A fin de cuentas, este pequeño disco ofrece un sonido rico y completo. Es mucho más cálido, considerablemente más ruidoso y los deslizamientos de tierra menos ""metálicos"". Habrá audiófilos que dejarán esto, y deberían hacerlo, ya que no pretende ser el mejor altavoz del mundo. Pero, si despliega una casa llena de estas cosas, tendrá un robusto sistema de altavoces que puede hacer todo tipo de cosas. Ahora me veo obligado a considerar el destino de mis Gen2 Dots.Nota al margen: la cantidad de personas que se quejan de esto es asombrosa. Creo que la mayoría son del tipo que se quejaría si su agua helada estuviera fría. Tengo un ecosistema Echo bastante grande en mi casa. En los primeros 30 minutos de configuración, supe que se trataba de una actualización de Dot2. Es una obviedad. A falta de un producto defectuoso real (sucede), no puedo entender dónde está el problema. La configuración estuvo bien, en su mayoría se configuró nada más sacarlo de la caja. La calidad del sonido es excelente PARA UN ALTAVOZ DE 1.6"". Si quieres control domótico, con dispositivos compatibles que no requieran un hub, esto te llevará allí. Si quieres un sonido rockero de estadio, eres un idiota por pensar que esto estuvo cerca. Si desea audio para todo el hogar a un nivel adulto razonable, 6 de estos serían increíbles. Todos los problemas de conexión son probablemente redes domésticas de mala calidad, y puntos en diferentes bandas en dichas redes de mierda. Sí, algunas redes ""hablarán"" en las bandas de 2,4 y 5 GHz, pero no todas. Depende únicamente de su equipo/enrutador y de la configuración del mismo. Algunos enrutadores, como Ubee de Spectrum, no mantendrán un arrendamiento de direcciones para dispositivos conectados durante mucho tiempo como estos. Por lo tanto, parece que estos deben reiniciarse con frecuencia para mantener la funcionalidad cuando en realidad es culpa del enrutador. Un enrutador TP-Link agradable y barato (disponible aquí, por supuesto) puede arreglar todo eso. Descargo de responsabilidad: Trabajo en tecnología. Soy gerente de administración de redes. Entiendo estas limitaciones y mis expectativas están calibradas adecuadamente.  Honestamente, estas son básicamente latas de atún elegantes. ¿Cómo pensaste que iba a sonar? ¡Sigue siendo el atún que mejor suena que puedo tener!

",23-Nov-18,mixed,audio_y_sonido
"
Tengo dos de estos, uno arriba y otro abajo. Fueron extremadamente difíciles de conectar y son totalmente inadmisibles, a veces funcionan y al segundo siguiente no. Incluso cuando funcionan, la calidad de la información es limitada e inferior. Los informes de noticias no cambian durante muchos días. Estos han sido una frustrante y horrible pérdida de dinero, hágase un favor, páselos hasta que puedan perfeccionarlos un poco más.

",20-Nov-18,negative,calidad_de_fabricacion
"
He estado usando dispositivos Echo durante muchos meses. Hay cosas buenas y malas.7 Dispositivos domésticos Echo1 Echo Auto4 Enchufes inteligentes6 Luces inteligentes1 Fire TVLo bueno:* La nueva generación es bastante fácil de configurar. Gran mejora con respecto a los dispositivos originales.* El reconocimiento de voz es muy bueno, incluso desde el otro lado de la habitación.* La calidad del sonido es excelente para un dispositivo pequeño.* Las mejoras en el patrón de voz y el reconocimiento continúan. Muy notable.* La integración de Smart Home es excelente: usar rutinas para automatizar tareas es la mejor característica. Lo malo:* La configuración puede ser problemática y muy molesta si su señal wifi no es excelente.* La conexión a altavoces Bluetooth u otros dispositivos es problemática. El audio se detendrá, aunque la transmisión aún se esté ejecutando. Requiere reiniciar cualquiera de los dispositivos para establecer el audio* Los dispositivos Bluetooth pueden desconectarse aleatoriamente, pueden o no volver a conectarse.* Rara vez se respetan configuraciones como 'altavoz preferido'.* El proveedor de música predeterminado parece hacer poco o nada. Lo MUY malo:* El soporte es prácticamente inexistente. He pasado meses lidiando con los problemas de conexión bluetooth. He llamado dos veces, para iniciar y hacer un seguimiento de la solicitud de soporte, que pasan por la misma solución de problemas que ya he hecho. Los problemas continúan. Se le pidió que proporcionara más información, no respondió. Dos veces me dijeron que recibiría una llamada, sin respuesta. Me informaron que necesitamos comenzar el proceso desde cero. Trabajo en informática y tecnología. Casi cuarenta años de experiencia. Han instalado y configurado más de tres docenas de dispositivos Echo. Habilidades de resolución de problemas muy sólidas y múltiples dispositivos para probar todas las configuraciones posibles para determinar cuál es el problema. ¿Hay alguien en Amazon que entienda cómo se supone que funcionan estas cosas? ¿Alguien que pueda investigar estos problemas?-G

",1-May-20,mixed,audio_y_sonido
"
Compré este Dot (y 2 más) para la habitación de mis hijos para que cada uno pudiera escuchar su propia música, aquí es donde entra el Malo.  No pueden escuchar música diferente en nuestra cuenta de Amazon Prime Music, solo un dispositivo puede tener el control o la música en Amazon Music. A menos que quiera crearlos a todos por separado, que luego tendré que administrar y luego invitarlos al Plan Familiar Ilimitado de Amazon, que como puede adivinar cuesta $ 149 adicionales al año.  Una especie de estafa si me preguntas. Dicho esto, aquí hay algunas cosas buenas ... Cada uno puede escuchar diferentes estaciones de radio iHeart y / o cuenta de Spottify. Ahora puedo sincronizarlos todos juntos y tocar la MISMA canción en toda la casa con bastante facilidad. El sonido de un pequeño dispositivo es excelente para el tamaño. Los compré en una oferta de Black Friday y venían con enchufes inteligentes. Entonces, Amazon, es hora de retribuir y permitir que las personas transmitan música diferente desde nuestras cuentas de Prime Music en diferentes dispositivos de Amazon (puntos, ecos, programas) sin estafarnos por más dinero. Aparte de eso, me gustan.

",27-Dec-19,mixed,audio_y_sonido
"
Somos un hogar multieco. Hemos comprado dispositivos echo para otras 4 familias / hogares. Pero realmente no estoy impresionado con este. Intenté instalar este en la cocina. Estaba reemplazando a una 2ª generación, que funcionó perfectamente durante la mayor parte del año. Pero quería poner la 2ª generación en el sótano y reemplazarla con esta 3ª generación... La 3ª generación tarda en responder, hasta el punto de que uno piensa que no te escuchó y se está apagando... solo para luego responder. Constantemente se cae la conexión y tiene dificultades para volver a conectarse. -- la 2ª generación en el sótano funciona perfectamente. Sin conexiones caídas, sin retrasos en la respuesta.. También puse una 3ª generación en mi habitación, que no tiene problemas, ni retrasos, ni caída de conexión. Así que asumí que era un punto malo y solicité un reemplazo. El reemplazo llegó hoy (no me informaron que sería uno reacondicionado). Estoy teniendo los mismos problemas con eso. Voy a enviar a ambos de vuelta. Parece que puede ser algo con el wifi dentro del punto, que no es tan bueno como las generaciones anteriores. Amo mis otros dispositivos.. pero este, no tanto.

",7-Dec-18,mixed,rendimiento
"
He estado usando el punto Echo y el Echo durante aproximadamente 3 semanas. Todo el mundo habla de la diferencia en los altavoces y la calidad del sonido, así que lo dejaré fuera de esta revisión. Lo que quiero que la gente sepa es que el Echo es mucho mejor que el Echo Dot a pesar de que el Dot cuesta 1/3 del precio. Digo esto porque el Echo Dot tiene un micrófono de baja calidad. Esta es probablemente una de las formas en que pudieron reducir el precio. Considere esto:1. Capacidad de respuesta: Tengo el Dot en mi habitación y el Echo en la sala de estar. La mayoría de las veces, cuando digo ""Alexa"", el Echo en la sala de estar responderá mientras que el Dot no hace nada. Debido a esto, tuve que cambiar la palabra de activación de mi Dot. También hay momentos en los que tengo que intentar repetidamente despertar a mi Dot porque simplemente no me escucha. Por otro lado, el Echo puede oírme mientras estoy en el baño con la puerta cerrada.2. Comprensión: Muchas veces le digo claramente (y en voz alta) a mi Dot que haga algo, pero cree que dije otra cosa. El Echo a veces también hace esto, pero el Dot lo hace con mucha más frecuencia. Me gusta el Dot en general, pero si pudiera retroceder en el tiempo, compraría otro Echo en pagos mensuales. Simplemente no vale la pena la frustración de tener que gritarle repetidamente a este disco de hockey para que haga algo.

",12-Jan-19,mixed,rendimiento
